X,Y,id,name,highway
-72.7306383,42.8427131,250136705,Old Oaks Trail,footway
-72.7306061,42.842894,250136705,Old Oaks Trail,footway
-72.7305417,42.8430671,250136705,Old Oaks Trail,footway
-72.73037,42.8431851,250136705,Old Oaks Trail,footway
-72.7301018,42.8432638,250136705,Old Oaks Trail,footway
-72.7299516,42.843366,250136705,Old Oaks Trail,footway
-72.7298872,42.8434604,250136705,Old Oaks Trail,footway
-72.7299409,42.8436728,250136705,Old Oaks Trail,footway
-72.7299409,42.8437908,250136705,Old Oaks Trail,footway
-72.7300589,42.8439324,250136705,Old Oaks Trail,footway
-72.7301555,42.8441684,250136705,Old Oaks Trail,footway
-72.7302842,42.8443258,250136705,Old Oaks Trail,footway
-72.7303164,42.8445224,250136705,Old Oaks Trail,footway
-72.7304773,42.8446011,250136705,Old Oaks Trail,footway
-72.7306919,42.8446404,250136705,Old Oaks Trail,footway
-72.7308957,42.8446404,250136705,Old Oaks Trail,footway
-72.7310567,42.8445775,250136705,Old Oaks Trail,footway
-72.7311747,42.844428,250136705,Old Oaks Trail,footway
-72.7311747,42.8442864,250136705,Old Oaks Trail,footway
-72.7311854,42.844137,250136705,Old Oaks Trail,footway
-72.7311962,42.8439954,250136705,Old Oaks Trail,footway
-72.7313378,42.8438695,250136705,Old Oaks Trail,footway
-72.7315609,42.8437594,250136705,Old Oaks Trail,footway
-72.7317755,42.8436807,250136705,Old Oaks Trail,footway
-72.731915,42.8436807,250136705,Old Oaks Trail,footway
-72.7319493,42.8437751,250136705,Old Oaks Trail,footway
-72.7321081,42.8437908,250136705,Old Oaks Trail,footway
-72.7322905,42.8438223,250136705,Old Oaks Trail,footway
-72.7324192,42.8438931,250136705,Old Oaks Trail,footway
-72.7325694,42.8440111,250136705,Old Oaks Trail,footway
-72.7326767,42.8440898,250136705,Old Oaks Trail,footway
-72.7328484,42.8441763,250136705,Old Oaks Trail,footway
-72.7331166,42.8442078,250136705,Old Oaks Trail,footway
-72.7333226,42.8442078,250136705,Old Oaks Trail,footway
-72.7334278,42.8442156,250136705,Old Oaks Trail,footway
-72.7334278,42.8444123,250136705,Old Oaks Trail,footway
-72.7335565,42.8445224,250136705,Old Oaks Trail,footway
-72.7336981,42.8446483,250136705,Old Oaks Trail,footway
-72.7338569,42.8447741,250136705,Old Oaks Trail,footway
-72.7338998,42.8448921,250136705,Old Oaks Trail,footway
-72.7340178,42.8449787,250136705,Old Oaks Trail,footway
-72.7341487,42.8450573,250136705,Old Oaks Trail,footway
-72.7342539,42.8450731,250136705,Old Oaks Trail,footway
-72.7343826,42.8452461,250136705,Old Oaks Trail,footway
-72.7344577,42.8454034,250136705,Old Oaks Trail,footway
-72.7345543,42.8454664,250136705,Old Oaks Trail,footway
-72.7346637,42.8455765,250136705,Old Oaks Trail,footway
-72.7348332,42.845663,250136705,Old Oaks Trail,footway
-72.7350111,42.8456836,250136705,Old Oaks Trail,footway
-72.7350371,42.8456866,250136705,Old Oaks Trail,footway
-72.7334763,42.8516137,265941162,Town Trail,footway
-72.7334666,42.8516436,265941162,Town Trail,footway
-72.7334009,42.8516692,265941162,Town Trail,footway
-72.7333774,42.851681,265941162,Town Trail,footway
-72.733364,42.8517346,265941162,Town Trail,footway
-72.7333587,42.8517572,265941162,Town Trail,footway
-72.733309,42.8518599,265941162,Town Trail,footway
-72.7332936,42.8518801,265941162,Town Trail,footway
-72.7332695,42.8519445,265941162,Town Trail,footway
-72.7332239,42.8520413,265941162,Town Trail,footway
-72.7332091,42.8520866,265941162,Town Trail,footway
-72.733183,42.8521293,265941162,Town Trail,footway
-72.7331347,42.8522345,265941162,Town Trail,footway
-72.7331072,42.8522739,265941162,Town Trail,footway
-72.7330522,42.8524263,265941162,Town Trail,footway
-72.733012,42.8525069,265941162,Town Trail,footway
-72.7329697,42.8526607,265941162,Town Trail,footway
-72.7329429,42.8528161,265941162,Town Trail,footway
-72.7329449,42.8529316,265941162,Town Trail,footway
-72.7329221,42.8530162,265941162,Town Trail,footway
-72.7328511,42.8531533,265941162,Town Trail,footway
-72.732784,42.8533244,265941162,Town Trail,footway
-72.7327384,42.8534114,265941162,Town Trail,footway
-72.732723,42.8534433,265941162,Town Trail,footway
-72.7326787,42.8535564,265941162,Town Trail,footway
-72.7326479,42.8536478,265941162,Town Trail,footway
-72.7326144,42.8537058,265941162,Town Trail,footway
-72.7325842,42.8537722,265941162,Town Trail,footway
-72.7325553,42.8538543,265941162,Town Trail,footway
-72.7325413,42.8538907,265941162,Town Trail,footway
-72.732499,42.8539683,265941162,Town Trail,footway
-72.7324742,42.8540391,265941162,Town Trail,footway
-72.7324487,42.8540996,265941162,Town Trail,footway
-72.7324011,42.8541468,265941162,Town Trail,footway
-72.7323636,42.8542112,265941162,Town Trail,footway
-72.7323267,42.8542618,265941162,Town Trail,footway
-72.7323059,42.8542982,265941162,Town Trail,footway
-72.732259,42.8543385,265941162,Town Trail,footway
-72.7322067,42.8543764,265941162,Town Trail,footway
-72.732153,42.8544009,265941162,Town Trail,footway
-72.7321034,42.8544108,265941162,Town Trail,footway
-72.7320618,42.8544216,265941162,Town Trail,footway
-72.7319954,42.8544466,265941162,Town Trail,footway
-72.7319405,42.8544904,265941162,Town Trail,footway
-72.7318794,42.8545273,265941162,Town Trail,footway
-72.7318171,42.854571,265941162,Town Trail,footway
-72.7317245,42.8546207,265941162,Town Trail,footway
-72.7316709,42.8546664,265941162,Town Trail,footway
-72.7315864,42.8547205,265941162,Town Trail,footway
-72.7314959,42.8547888,265941162,Town Trail,footway
-72.7313819,42.8548768,265941162,Town Trail,footway
-72.731337,42.8548905,265941162,Town Trail,footway
-72.7312806,42.8549205,265941162,Town Trail,footway
-72.7312183,42.8549643,265941162,Town Trail,footway
-72.7312055,42.8549682,265941162,Town Trail,footway
-72.7311458,42.855009,265941162,Town Trail,footway
-72.7309836,42.8550714,265941162,Town Trail,footway
-72.7309158,42.855096,265941162,Town Trail,footway
-72.7308749,42.8551142,265941162,Town Trail,footway
-72.7308273,42.8551329,265941162,Town Trail,footway
-72.7307878,42.8551412,265941162,Town Trail,footway
-72.7307677,42.8551658,265941162,Town Trail,footway
-72.7306329,42.8552685,265941162,Town Trail,footway
-72.7304813,42.8553855,265941162,Town Trail,footway
-72.730476,42.85539,265941162,Town Trail,footway
-72.7303144,42.8554907,265941162,Town Trail,footway
-72.7301367,42.8555994,265941162,Town Trail,footway
-72.7300958,42.855619,265941162,Town Trail,footway
-72.7300341,42.8556593,265941162,Town Trail,footway
-72.7299818,42.8556888,265941162,Town Trail,footway
-72.7298946,42.8557513,265941162,Town Trail,footway
-72.7298524,42.8558279,265941162,Town Trail,footway
-72.7298081,42.8558756,265941162,Town Trail,footway
