X,Y,name
-72.7287828,42.8572579,Town Trail
-72.7287392,42.8573547,Town Trail
-72.7287057,42.8574108,Town Trail
-72.7286621,42.8575243,Town Trail
-72.7286132,42.8576187,Town Trail
-72.7285991,42.8576374,Town Trail
-72.7285568,42.8577671,Town Trail
-72.7285515,42.8577784,Town Trail
-72.7285139,42.8578369,Town Trail
-72.7284891,42.8578753,Town Trail
-72.7284616,42.8579465,Town Trail
-72.7284073,42.8580193,Town Trail
-72.7283517,42.8581392,Town Trail
-72.7283014,42.8582302,Town Trail
-72.7282812,42.8583009,Town Trail
-72.7282766,42.8583634,Town Trail
-72.7282692,42.8583924,Town Trail
-72.7282591,42.8584572,Town Trail
-72.728247,42.8585251,Town Trail
-72.7282437,42.8585806,Town Trail
-72.7282303,42.8587536,Town Trail
-72.7282169,42.8588839,Town Trail
-72.7282155,42.8589279,Town Trail
-72.7281716,42.859053,Town Trail
-72.7281639,42.8590962,Town Trail
-72.7281626,42.8591338,Town Trail
-72.7281585,42.8591579,Town Trail
-72.7281575,42.8591675,Town Trail
-72.7282035,42.8592024,Town Trail
-72.7282108,42.859211,Town Trail
-72.7282145,42.8592223,Town Trail
-72.7282095,42.8592383,Town Trail
-72.7282025,42.8592725,Town Trail
-72.7281884,42.8593332,Town Trail
-72.7281803,42.8593956,Town Trail
-72.7281693,42.8594873,Town Trail
-72.7281686,42.8595266,Town Trail
-72.7281696,42.8595615,Town Trail
-72.7281669,42.859577,Town Trail
-72.7281696,42.859603,Town Trail
-72.7281659,42.8596288,Town Trail
-72.728176,42.8596817,Town Trail
-72.7281924,42.8597134,Town Trail
-72.7334666,42.8516436,Ho Chi Minh Trail
-72.7336795,42.8516196,Ho Chi Minh Trail
-72.7338297,42.8515724,Ho Chi Minh Trail
-72.7341033,42.8515488,Ho Chi Minh Trail
-72.7343608,42.8514701,Ho Chi Minh Trail
-72.7345754,42.8513246,Ho Chi Minh Trail
-72.7348221,42.8510729,Ho Chi Minh Trail
-72.7349187,42.8509982,Ho Chi Minh Trail
-72.7350528,42.850774,Ho Chi Minh Trail
-72.7351601,42.8507347,Ho Chi Minh Trail
-72.7354391,42.8509235,Ho Chi Minh Trail
-72.7356697,42.8513049,Ho Chi Minh Trail
-72.7357824,42.8517769,Ho Chi Minh Trail
-72.7357717,42.8522016,Ho Chi Minh Trail
-72.7356322,42.8527364,Ho Chi Minh Trail
-72.7355142,42.8528898,Ho Chi Minh Trail
-72.7354927,42.8530471,Ho Chi Minh Trail
-72.7355249,42.8532438,Ho Chi Minh Trail
-72.7356107,42.8533263,Ho Chi Minh Trail
-72.7357019,42.8533696,Ho Chi Minh Trail
-72.7358575,42.8533893,Ho Chi Minh Trail
-72.7360184,42.8533657,Ho Chi Minh Trail
-72.7362062,42.8533145,Ho Chi Minh Trail
-72.7363188,42.8532752,Ho Chi Minh Trail
-72.736528,42.8532674,Ho Chi Minh Trail
-72.73663,42.8532477,Ho Chi Minh Trail
-72.7367533,42.8531297,Ho Chi Minh Trail
-72.7368553,42.8529763,Ho Chi Minh Trail
-72.7369894,42.8529291,Ho Chi Minh Trail
-72.7371396,42.8529291,Ho Chi Minh Trail
-72.7373166,42.8528859,Ho Chi Minh Trail
-72.7374132,42.8527994,Ho Chi Minh Trail
-72.7376599,42.8527443,Ho Chi Minh Trail
-72.7378906,42.8525909,Ho Chi Minh Trail
-72.7379872,42.852473,Ho Chi Minh Trail
-72.7380247,42.8523825,Ho Chi Minh Trail
-72.7380086,42.8523078,Ho Chi Minh Trail
-72.7379389,42.8521662,Ho Chi Minh Trail
-72.7378691,42.8520325,Ho Chi Minh Trail
-72.737853,42.8519342,Ho Chi Minh Trail
-72.7379013,42.8518201,Ho Chi Minh Trail
-72.7379979,42.8517139,Ho Chi Minh Trail
-72.7381535,42.8515842,Ho Chi Minh Trail
-72.7383466,42.8514229,Ho Chi Minh Trail
-72.7384217,42.8513285,Ho Chi Minh Trail
-72.7384968,42.8511555,Ho Chi Minh Trail
-72.7386094,42.8510257,Ho Chi Minh Trail
-72.7387221,42.8509824,Ho Chi Minh Trail
-72.7388562,42.8509313,Ho Chi Minh Trail
-72.7388991,42.8508527,Ho Chi Minh Trail
-72.739103,42.8507308,Ho Chi Minh Trail
-72.7392371,42.8506285,Ho Chi Minh Trail
-72.7393819,42.8505302,Ho Chi Minh Trail
-72.7395214,42.8504594,Ho Chi Minh Trail
-72.7395643,42.8503493,Ho Chi Minh Trail
-72.7396233,42.8503257,Ho Chi Minh Trail
-72.7396233,42.8502785,Ho Chi Minh Trail
-72.7395375,42.8501998,Ho Chi Minh Trail
-72.7393873,42.8499717,Ho Chi Minh Trail
-72.7391995,42.8497397,Ho Chi Minh Trail
-72.7391351,42.8496374,Ho Chi Minh Trail
-72.7391512,42.8495234,Ho Chi Minh Trail
-72.7390922,42.8492284,Ho Chi Minh Trail
-72.7389581,42.848957,Ho Chi Minh Trail
-72.7389152,42.8487132,Ho Chi Minh Trail
-72.7389742,42.848489,Ho Chi Minh Trail
-72.7390225,42.8482648,Ho Chi Minh Trail
-72.7391298,42.8481468,Ho Chi Minh Trail
-72.7393336,42.8480249,Ho Chi Minh Trail
-72.7395482,42.8479384,Ho Chi Minh Trail
-72.739854,42.8478204,Ho Chi Minh Trail
-72.7399237,42.8477771,Ho Chi Minh Trail
-72.7399398,42.8476631,Ho Chi Minh Trail
-72.7399613,42.8475018,Ho Chi Minh Trail
-72.7400417,42.8473052,Ho Chi Minh Trail
-72.7401705,42.8470299,Ho Chi Minh Trail
-72.7403046,42.8468293,Ho Chi Minh Trail
-72.740377,42.8467054,Ho Chi Minh Trail
-72.7404655,42.8464261,Ho Chi Minh Trail
-72.7405433,42.8462551,Ho Chi Minh Trail
-72.7406586,42.8461174,Ho Chi Minh Trail
-72.740672,42.8460938,Ho Chi Minh Trail
-72.7407713,42.8460073,Ho Chi Minh Trail
-72.7409269,42.8458676,Ho Chi Minh Trail
-72.7410476,42.8456887,Ho Chi Minh Trail
-72.7411253,42.8453878,Ho Chi Minh Trail
-72.7411629,42.8452285,Ho Chi Minh Trail
-72.7414097,42.8446425,Ho Chi Minh Trail
-72.7415009,42.8444537,Ho Chi Minh Trail
-72.7416108,42.844082,Ho Chi Minh Trail
-72.7415974,42.8439325,Ho Chi Minh Trail
-72.7415867,42.8437614,Ho Chi Minh Trail
-72.7416403,42.8435943,Ho Chi Minh Trail
-72.7416698,42.843431,Ho Chi Minh Trail
-72.7416993,42.8433543,Ho Chi Minh Trail
-72.7417637,42.8432363,Ho Chi Minh Trail
-72.7418388,42.8429708,Ho Chi Minh Trail
-72.7419381,42.842786,Ho Chi Minh Trail
-72.7419461,42.8426463,Ho Chi Minh Trail
-72.7420105,42.8424221,Ho Chi Minh Trail
-72.7420132,42.8422451,Ho Chi Minh Trail
-72.7419729,42.842015,Ho Chi Minh Trail
-72.7419179,42.8418911,Ho Chi Minh Trail
-72.7419085,42.841722,Ho Chi Minh Trail
-72.7418938,42.8415588,Ho Chi Minh Trail
-72.7418884,42.8414457,Ho Chi Minh Trail
